  Average Equal Weighted Returns -- Monthly,Cnsmr,Manuf,HiTec,Hlth ,Other
1953-03,-1.07,-0.88,-2.24,-0.02,-1.47
1953-04,-1.58,-2.81,-1.58,-2.47,-2.7
1953-05,0.49,0.5,-0.11,0.65,1.46
1953-06,-3.52,-3.15,-2.38,-3.13,-3.04
1953-07,1.52,1.91,1.72,2.58,1.62
1953-08,-4.26,-5.04,-6,-1.86,-7.07
1953-09,-1.72,-0.66,2.23,-0.38,-2.45
1953-10,2.3,4.84,3.8,2.7,3.26
1953-11,0.86,2.72,1.37,6.31,2.75
1953-12,-2.16,-0.95,-0.9,0.05,-2.26
1954-01,6.66,7.4,6.81,5.92,7.46
1954-02,0.46,1.7,2.09,1.34,1.73
1954-03,1.21,3.9,3.68,0.15,2.86
1954-04,-0.65,2.67,3.33,2.18,2.24
1954-05,4.05,4.25,2.67,2.33,5.43
1954-06,1.3,1.01,3.38,-0.31,1.35
1954-07,7.6,6.74,7.92,7.08,7.67
1954-08,-0.86,-1.12,-2.62,-1.74,0.22
1954-09,3.83,4.53,5.88,5.43,4.28
1954-10,-1.22,-1,0.02,0.28,0.88
1954-11,6.48,9.73,11.81,12.04,10.55
1954-12,7.41,8.43,8.89,8,12.77
1955-01,1.73,1.09,2.1,-2.24,1.94
1955-02,3.04,4.83,5.96,3.8,4.41
1955-03,-0.62,0.02,0.6,4.59,0.92
1955-04,2.64,1.76,3,4.12,3.23
1955-05,0.29,0.47,0.99,1.05,2.09
1955-06,2.52,4.81,2.48,1.47,2.19
1955-07,2.17,0.68,-1.67,1.02,-0.94
1955-08,-0.66,1.51,-0.81,-0.25,0.47
1955-09,-0.01,-0.77,-2.87,-1.15,-1.59
1955-10,-1.36,-1.56,-3.35,0.94,-2.44
1955-11,2.75,6.79,6.05,6.97,6.44
1955-12,1.58,2.67,3.27,7.3,1.27
1956-01,-1.18,-2.17,-2.67,-4.49,-2.84
1956-02,1.83,4.08,3.88,4.05,3.68
1956-03,2.44,6.65,6.96,7.09,4.52
1956-04,-0.48,0.66,0.46,1.28,1.23
1956-05,-3.61,-3.83,-5.59,-3.51,-4.66
1956-06,1.15,2.93,2.64,2.26,1.29
1956-07,1.82,5.62,3.78,4.34,2.75
1956-08,-0.73,-1.97,-1.86,-3.27,-3.01
1956-09,-2.81,-4.12,-3.97,-3.02,-3.23
1956-10,1.15,0.85,-0.5,0.66,0.06
1956-11,-0.03,1.48,-0.55,-0.92,-0.62
1956-12,-0.01,3.3,4.01,6.22,2.43
1957-01,2.35,-1.08,0.5,-1.17,0.85
1957-02,-1.65,-2.37,-2.54,0.14,-3.31
1957-03,1.75,2.06,3.94,6.87,2.5
1957-04,2.12,2.42,4.73,4.6,2.87
1957-05,1.34,2.44,3.86,4.5,1.78
1957-06,-0.04,-1.66,1.01,4.11,-0.44
